model;dt;re-plan after #timesteps;planning horizon;v_min [m/s];v_max [m/s];a_min [m/s^2];a_max [m/s^2];delta_min [radians];delta_max [radians];v_delta_min [radians/s];v_delta_max [radians/s];road name;road completion;objective value;avg solve time;max solve time;min solve time;url animation;url stats
PM;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Straight;97.95%;maximize_distance: 176.31;3.99ms;5.64ms;1.16ms;"=HYPERLINK(""http://wg-server.net:8000/straight-RoadAlignedModel-27-01-2025 09:45:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/straight-RoadAlignedModel-27-01-2025 09:45:18/stats.pdf""; ""Stats"")"
KST;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Straight;97.94%;maximize_distance: 176.29;4.94ms;7.75ms;1.15ms;"=HYPERLINK(""http://wg-server.net:8000/straight-OrientedRoadFollowingModel-27-01-2025 09:45:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/straight-OrientedRoadFollowingModel-27-01-2025 09:45:18/stats.pdf""; ""Stats"")"
PM;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Left Turn;97.96%;maximize_distance: 230.82;4.32ms;7.60ms;1.33ms;"=HYPERLINK(""http://wg-server.net:8000/left_turn-RoadAlignedModel-27-01-2025 09:45:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/left_turn-RoadAlignedModel-27-01-2025 09:45:18/stats.pdf""; ""Stats"")"
KST;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Left Turn;97.96%;maximize_distance: 230.82;5.11ms;6.33ms;1.46ms;"=HYPERLINK(""http://wg-server.net:8000/left_turn-OrientedRoadFollowingModel-27-01-2025 09:45:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/left_turn-OrientedRoadFollowingModel-27-01-2025 09:45:18/stats.pdf""; ""Stats"")"
PM;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Lane Change;96.95%;maximize_distance: 98.78;4.05ms;5.54ms;1.06ms;"=HYPERLINK(""http://wg-server.net:8000/lane_change-RoadAlignedModel-27-01-2025 09:45:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/lane_change-RoadAlignedModel-27-01-2025 09:45:18/stats.pdf""; ""Stats"")"
KST;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Lane Change;96.95%;maximize_distance: 98.78;4.96ms;6.68ms;1.33ms;"=HYPERLINK(""http://wg-server.net:8000/lane_change-OrientedRoadFollowingModel-27-01-2025 09:45:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/lane_change-OrientedRoadFollowingModel-27-01-2025 09:45:18/stats.pdf""; ""Stats"")"
PM;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Slalom;97.97%;maximize_distance: 316.18;4.30ms;16.78ms;1.22ms;"=HYPERLINK(""http://wg-server.net:8000/slalom-RoadAlignedModel-27-01-2025 09:45:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/slalom-RoadAlignedModel-27-01-2025 09:45:18/stats.pdf""; ""Stats"")"
KST;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Slalom;97.96%;maximize_distance: 316.17;5.17ms;9.86ms;1.37ms;"=HYPERLINK(""http://wg-server.net:8000/slalom-OrientedRoadFollowingModel-27-01-2025 09:45:18/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/slalom-OrientedRoadFollowingModel-27-01-2025 09:45:18/stats.pdf""; ""Stats"")"
PM;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Lane Change;76.27%;minimize_offset_from_reference_path: 8906.02;4.34ms;14.85ms;3.56ms;"=HYPERLINK(""http://wg-server.net:8000/lane_change-RoadAlignedModel-27-01-2025 10:42:58/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/lane_change-RoadAlignedModel-27-01-2025 10:42:58/stats.pdf""; ""Stats"")"
KST;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Lane Change;97.01%;minimize_offset_from_reference_path: 10056.38;4.73ms;17.74ms;1.36ms;"=HYPERLINK(""http://wg-server.net:8000/lane_change-OrientedRoadFollowingModel-27-01-2025 10:42:58/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/lane_change-OrientedRoadFollowingModel-27-01-2025 10:42:58/stats.pdf""; ""Stats"")"
PM;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Slalom;97.99%;minimize_offset_from_reference_path: 36048.19;4.14ms;13.98ms;1.17ms;"=HYPERLINK(""http://wg-server.net:8000/slalom-RoadAlignedModel-27-01-2025 10:42:58/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/slalom-RoadAlignedModel-27-01-2025 10:42:58/stats.pdf""; ""Stats"")"
KST;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Slalom;97.99%;minimize_offset_from_reference_path: 27941.90;4.77ms;5.66ms;1.56ms;"=HYPERLINK(""http://wg-server.net:8000/slalom-OrientedRoadFollowingModel-27-01-2025 10:42:58/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/slalom-OrientedRoadFollowingModel-27-01-2025 10:42:58/stats.pdf""; ""Stats"")"
PM;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Elchtest 1;30.11%;minimize_offset_from_reference_path: 1261.56;6.00ms;8.73ms;4.55ms;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-RoadAlignedModel-27-01-2025 12:58:25/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-RoadAlignedModel-27-01-2025 12:58:25/stats.pdf""; ""Stats"")"
KST;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Elchtest 1;94.99%;minimize_offset_from_reference_path: 4242.11;6.46ms;9.61ms;1.57ms;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-OrientedRoadFollowingModel-27-01-2025 12:58:25/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-OrientedRoadFollowingModel-27-01-2025 12:58:25/stats.pdf""; ""Stats"")"
PM;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Feasible Curve;64.37%;minimize_offset_from_reference_path: 2620.07;3.56ms;6.74ms;2.51ms;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-RoadAlignedModel-27-01-2025 12:58:25/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-RoadAlignedModel-27-01-2025 12:58:25/stats.pdf""; ""Stats"")"
KST;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Feasible Curve;94.54%;minimize_offset_from_reference_path: 4439.11;4.53ms;5.58ms;1.45ms;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-OrientedRoadFollowingModel-27-01-2025 12:58:25/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-OrientedRoadFollowingModel-27-01-2025 12:58:25/stats.pdf""; ""Stats"")"
PM;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Infeasible Curve;40.97%;minimize_offset_from_reference_path: 2176.00;4.16ms;5.19ms;3.62ms;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-RoadAlignedModel-27-01-2025 12:58:25/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-RoadAlignedModel-27-01-2025 12:58:25/stats.pdf""; ""Stats"")"
KST;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Infeasible Curve;48.76%;minimize_offset_from_reference_path: 2120.00;5.00ms;6.40ms;4.56ms;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-OrientedRoadFollowingModel-27-01-2025 12:58:25/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-OrientedRoadFollowingModel-27-01-2025 12:58:25/stats.pdf""; ""Stats"")"
PM;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Random;15.80%;minimize_offset_from_reference_path: 10227.09;4.29ms;5.23ms;4.03ms;"=HYPERLINK(""http://wg-server.net:8000/random-RoadAlignedModel-27-01-2025 12:58:25/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/random-RoadAlignedModel-27-01-2025 12:58:25/stats.pdf""; ""Stats"")"
KST;10.00ms;8;5;2.5;6.0;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Random;97.97%;minimize_offset_from_reference_path: 23139.65;5.07ms;17.39ms;0.80ms;"=HYPERLINK(""http://wg-server.net:8000/random-OrientedRoadFollowingModel-27-01-2025 12:58:25/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/random-OrientedRoadFollowingModel-27-01-2025 12:58:25/stats.pdf""; ""Stats"")"
PM;10.00ms;8;5;8.0;19.2;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Lane Change;96.90%;minimize_offset_from_reference_path: 3076.03;3.80ms;5.30ms;0.84ms;"=HYPERLINK(""http://wg-server.net:8000/lane_change-RoadAlignedModel-27-01-2025 13:31:15/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/lane_change-RoadAlignedModel-27-01-2025 13:31:15/stats.pdf""; ""Stats"")"
KST;10.00ms;8;5;8.0;19.2;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Lane Change;96.93%;minimize_offset_from_reference_path: 3593.85;4.53ms;5.81ms;1.78ms;"=HYPERLINK(""http://wg-server.net:8000/lane_change-OrientedRoadFollowingModel-27-01-2025 13:31:15/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/lane_change-OrientedRoadFollowingModel-27-01-2025 13:31:15/stats.pdf""; ""Stats"")"
PM;10.00ms;8;5;8.0;19.2;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Slalom;77.13%;minimize_offset_from_reference_path: 2043.59;2.93ms;4.28ms;2.47ms;"=HYPERLINK(""http://wg-server.net:8000/slalom-RoadAlignedModel-27-01-2025 13:31:15/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/slalom-RoadAlignedModel-27-01-2025 13:31:15/stats.pdf""; ""Stats"")"
KST;10.00ms;8;5;8.0;19.2;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Slalom;97.96%;minimize_offset_from_reference_path: 11298.84;4.89ms;5.74ms;0.75ms;"=HYPERLINK(""http://wg-server.net:8000/slalom-OrientedRoadFollowingModel-27-01-2025 13:31:15/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/slalom-OrientedRoadFollowingModel-27-01-2025 13:31:15/stats.pdf""; ""Stats"")"
PM;10.00ms;8;5;8.0;19.2;-4;4;-0.6981317007977318;0.6981317007977318;-8;8;Elchtest 1;94.91%;minimize_offset_from_reference_path: 1008.69;4.21ms;5.95ms;1.44ms;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-RoadAlignedModel-27-01-2025 13:31:15/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-RoadAlignedModel-27-01-2025 13:31:15/stats.pdf""; ""Stats"")"
