model;dt;re-plan after #timesteps;planning horizon;v_min [m/s];v_max [m/s];a_min [m/s^2];a_max [m/s^2];delta_min [radians];delta_max [radians];v_delta_min [radians/s];v_delta_max [radians/s];road name;road completion;objective name;objective value;avg solve time;Standard deviation;max solve time;min solve time;url animation;url stats
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.75%;maximize_distance;57.80;3.78ms;1.28ms;9.05ms;1.03ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-5338d67e-d441-4451-b802-ed180f066b1d/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;24.86%;maximize_distance;15.16;11.91ms;5.68ms;30.75ms;8.45ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-29f90bd0-66ec-4de7-a0e4-fd3cf0a185a8/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;41.58%;maximize_distance;23.16;3.40ms;0.59ms;4.91ms;2.76ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-8049e7c5-19ac-4593-a4fc-f78bb5fc13ef/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;79.35%;maximize_distance;44.20;8.47ms;8.53ms;68.75ms;4.81ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-2c983f25-cdf3-4196-bd37-e23b6a7e6ef0/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;44.84%;maximize_distance;21.88;2.73ms;0.29ms;3.33ms;2.13ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-b8722bd5-e479-439a-b048-ddff95aa3640/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;18.36%;maximize_distance;8.96;10.57ms;4.15ms;22.19ms;8.09ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-28d90251-83e6-43d7-9100-575d4d87bf59/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;16.40%;maximize_distance;31.11;3.75ms;0.52ms;5.80ms;3.13ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-7cbf5925-13a2-46c7-80fc-d661eb26961d/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;9.34%;maximize_distance;17.72;9.11ms;1.19ms;13.59ms;7.94ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-58f8f0eb-98ff-4c11-9687-af2370aff748/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.68%;maximize_distance;172.22;3.02ms;1.14ms;7.75ms;0.73ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-53a96c0a-bf7f-4fdb-af42-87d4d8c2b7ef/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.66%;maximize_distance;172.19;7.47ms;1.36ms;9.47ms;2.71ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-8b3ecada-dee8-43e3-9ef5-a3e7b7aecbd9/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.71%;maximize_distance;225.50;3.43ms;1.00ms;7.52ms;1.31ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-a7f645fb-6117-483c-a260-7c6af374a563/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;61.03%;maximize_distance;143.80;9.11ms;5.85ms;65.17ms;7.68ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-3b25d248-5769-40d2-8d4b-568d3293e9d6/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;28.28%;maximize_distance;28.82;2.65ms;0.50ms;4.19ms;2.04ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-083fb0dc-ba85-433e-a2d0-25fe5fff4f15/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;29.25%;maximize_distance;29.80;8.21ms;2.10ms;16.39ms;6.69ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-4563972f-cb3b-41ec-955b-2a405910e75b/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;0%;maximize_distance;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-8f0983ed-25f8-49b0-bc8c-72fe1aab5dc9/stats.pdf""; ""Stats"")"
