model;dt;re-plan after #timesteps;planning horizon;v_min [m/s];v_max [m/s];a_min [m/s^2];a_max [m/s^2];delta_min [radians];delta_max [radians];v_delta_min [radians/s];v_delta_max [radians/s];road name;road completion;objective name;objective value;avg solve time;Standard deviation;max solve time;min solve time;url animation;url stats
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;0%;minimize_control_derivatives;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-3349ea72-93d6-4576-a669-0a4aded723a5/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;10.81%;minimize_control_derivatives;710844.24;16.41ms;5.72ms;29.02ms;11.14ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-04d93cc0-e329-4ef6-bcb5-420747b86099/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.90%;minimize_control_derivatives_offset_maximize_distance;-4822282.30;5.01ms;3.48ms;61.99ms;1.21ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-554b5c93-f5b9-476d-9fc9-4ecfc049e37e/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.94%;minimize_control_derivatives_offset_maximize_distance;-5180918.89;10.99ms;2.10ms;21.03ms;1.80ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-c6ee1509-3cef-4ce8-bbaa-c7fbc1df2a2b/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.94%;minimize_control_derivatives_offset_maximize_distance;-5265712.70;4.67ms;2.02ms;31.43ms;1.03ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-2298a42b-9992-47fb-8986-98673a3fa6e7/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.94%;minimize_control_derivatives_offset_maximize_distance;-6185540.57;11.10ms;1.82ms;24.39ms;1.84ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-4860ea7b-3f45-46b4-9a10-14fd0af553f1/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.84%;minimize_control_derivatives_offset_maximize_distance;-2095425.10;4.42ms;0.92ms;10.45ms;1.72ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-40ecd5cd-b11e-40c0-9ab3-79f6f3b5f6ea/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.81%;minimize_control_derivatives_offset_maximize_distance;-2630876.84;12.78ms;14.59ms;207.95ms;1.81ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-20ede64a-8243-447a-a530-a5e09eab6fdd/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;21.09%;minimize_control_derivatives_offset_maximize_distance;-1515237.49;5.50ms;2.06ms;21.98ms;4.02ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-b1dc8b91-0639-49b7-92c9-69d561765a54/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.97%;minimize_control_derivatives_offset_maximize_distance;-6449608.76;12.09ms;4.05ms;71.43ms;1.65ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-49d5f7ff-73ef-4986-970e-cda436e0a3fb/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.92%;minimize_control_derivatives_offset_maximize_distance;657504.57;6.84ms;4.99ms;44.83ms;1.58ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-0b8ac889-3f35-483e-aad5-6e9ffc81a6d6/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.90%;minimize_control_derivatives_offset_maximize_distance;-1325456.75;12.03ms;3.34ms;21.79ms;2.44ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-eaec6a79-3efb-48c8-97a7-52d60c398da9/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;42.03%;minimize_control_derivatives_offset_maximize_distance;-518296.98;4.39ms;0.80ms;9.32ms;3.61ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-86382de6-1898-44a4-b42f-b2a986073c1d/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;33.09%;minimize_control_derivatives_offset_maximize_distance;-517728.58;11.54ms;3.10ms;30.00ms;10.46ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-f7463132-b7b1-4aa8-b6d4-a1a20fbcd7f9/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;44.62%;minimize_control_derivatives_offset_maximize_distance;-460787.23;4.33ms;0.32ms;5.23ms;3.66ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-3db69a78-428c-4596-aca4-e1d5b7166cb0/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;45.90%;minimize_control_derivatives_offset_maximize_distance;-262276.61;12.14ms;3.21ms;30.04ms;10.37ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-8a8f9938-efa5-433e-960a-0991381e39cc/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;15.50%;minimize_control_derivatives_offset_maximize_distance;411755.63;6.36ms;2.35ms;14.88ms;4.63ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-25228bc7-f01c-4fd2-ab44-14a3f31575ce/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;95.90%;minimize_control_derivatives_offset_maximize_distance;-4310279.53;12.76ms;4.20ms;43.07ms;2.08ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-be12e6dc-935e-47ce-a692-313118cf7f22/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.87%;minimize_control_derivatives_offset_maximize_distance;-2981035.57;5.85ms;3.24ms;30.25ms;1.36ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-0ecf4344-dfbd-4688-9f8e-6edc669872ab/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.89%;minimize_control_derivatives_offset_maximize_distance;-3451984.11;12.12ms;3.05ms;26.28ms;2.64ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-24772138-a64b-4af8-9f3b-ffd2dbec66fc/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.86%;minimize_control_derivatives_offset_maximize_distance;-3423194.60;4.46ms;1.29ms;18.61ms;1.21ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-ee617829-196d-4908-978c-b5264d960f71/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.89%;minimize_control_derivatives_offset_maximize_distance;-3975270.01;10.99ms;4.81ms;75.22ms;2.42ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-671833d5-ce66-49cb-aa78-bbc442ea17a6/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.77%;minimize_control_derivatives_offset_maximize_distance;-989160.40;3.85ms;1.80ms;16.71ms;1.88ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-1e94915d-100c-4839-a55a-454fbef65e2c/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.79%;minimize_control_derivatives_offset_maximize_distance;-1648163.31;10.19ms;2.94ms;23.91ms;3.18ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-ef5db8a2-1d63-431e-80fb-adadc080dd38/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;95.90%;minimize_control_derivatives_offset_maximize_distance;-3951652.29;3.26ms;0.51ms;7.57ms;1.64ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-ef851a7d-0955-4ef6-bf80-fd85590d012e/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;31.26%;minimize_control_derivatives_offset_maximize_distance;-1668910.60;11.20ms;2.11ms;29.58ms;10.20ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-9d31d92a-6d40-4c8b-a524-6bc1f50c2e40/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.70%;minimize_control_derivatives_offset_maximize_distance;1255009.62;5.56ms;2.61ms;17.40ms;1.83ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-06d03658-3dd6-46e0-ae6f-4d957412a389/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.53%;minimize_control_derivatives_offset_maximize_distance;-210349.89;10.82ms;5.04ms;40.88ms;2.01ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-f837b6b9-3247-476e-b886-43db205ce7a5/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;41.90%;minimize_control_derivatives_offset_maximize_distance;75146.69;5.31ms;1.45ms;9.86ms;3.86ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-64747b2f-4acd-4b2e-b473-ef419817b1f8/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;45.29%;minimize_control_derivatives_offset_maximize_distance;-61582.48;10.72ms;1.38ms;16.21ms;8.94ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-43584491-1e11-4bc9-a9dc-44b71e2cc1fa/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;44.59%;minimize_control_derivatives_offset_maximize_distance;-129970.55;4.65ms;1.99ms;12.80ms;3.44ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-612d23f7-d9a7-4f3c-bfb1-1c887fa3d880/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;39.20%;minimize_control_derivatives_offset_maximize_distance;-143287.97;10.37ms;1.18ms;13.73ms;9.11ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-bef22098-0cc1-47be-b4a0-d1deee050d8a/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;14.74%;minimize_control_derivatives_offset_maximize_distance;-339739.55;6.22ms;5.41ms;34.25ms;4.23ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-9ae5a448-50ae-4847-8798-ba859661a382/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;95.85%;minimize_control_derivatives_offset_maximize_distance;-2727151.61;10.90ms;3.13ms;31.39ms;2.04ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-d5483d17-603e-4d4f-abaa-b886190e2602/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.77%;minimize_control_derivatives_offset_maximize_distance;-1792376.82;3.95ms;0.92ms;8.29ms;0.98ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-37712b72-4792-4869-8717-221656906cf3/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;22.22%;minimize_control_derivatives_offset_maximize_distance;-599999.98;10.61ms;0.85ms;13.97ms;9.84ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-b82082d1-5d71-42f8-9e2a-3df470ad323f/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.74%;minimize_control_derivatives_offset_maximize_distance;-3089703.07;4.06ms;0.72ms;6.20ms;1.58ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-67d15197-51df-4a0f-8af3-af7a69f7c85d/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;91.68%;minimize_control_derivatives_offset_maximize_distance;-2514021.03;10.25ms;3.93ms;46.12ms;5.10ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-5d8d08bb-d36b-440f-880d-53333a925ae0/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;35.75%;minimize_control_derivatives_offset_maximize_distance;80344.83;4.58ms;0.54ms;5.69ms;3.47ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-c362d928-555f-4e20-8b53-bb306710c66f/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;52.18%;minimize_control_derivatives_offset_maximize_distance;-310145.20;9.46ms;0.84ms;11.93ms;8.61ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-d8e6d8c1-5710-445b-afad-2c978d6513f7/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;0%;minimize_control_derivatives_offset_maximize_distance;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-a989b183-71aa-4f11-a426-10cf45c0080d/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;15.89%;minimize_control_derivatives_offset_maximize_distance;-708017.05;10.52ms;0.71ms;13.00ms;9.87ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-10c2dcb0-0595-4477-a2ea-35c6dc655a2e/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.27%;minimize_control_derivatives_offset_maximize_distance;3407978.87;4.10ms;1.08ms;6.86ms;1.46ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-65a689f5-1c3d-456f-a091-6a77f17a540b/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;35.25%;minimize_control_derivatives_offset_maximize_distance;330669.33;12.18ms;2.11ms;17.26ms;9.60ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-feecf539-b37c-4f6b-85a7-fa3e19ee8c20/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;40.41%;minimize_control_derivatives_offset_maximize_distance;22629.67;3.10ms;0.27ms;3.66ms;2.72ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-ebab1cfa-d637-4c24-8d81-ef82132e860a/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;37.67%;minimize_control_derivatives_offset_maximize_distance;-95382.29;7.89ms;0.28ms;8.55ms;7.58ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-7db61c6a-99f0-4dcb-b5ae-d2d407bb6741/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;42.63%;minimize_control_derivatives_offset_maximize_distance;497712.75;4.89ms;1.94ms;8.34ms;2.70ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-eaa06209-d515-44d2-8b2b-d8cd76fce2c1/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;0%;minimize_control_derivatives_offset_maximize_distance;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-84684587-a376-46f6-b705-7b07522a1048/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;0%;minimize_control_derivatives_offset_maximize_distance;0.00;-;-;-;-;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-1d068ef6-7220-4295-895e-1120f3208c3b/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;14.0;20;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;10.89%;minimize_control_derivatives_offset_maximize_distance;512894.57;10.49ms;0.35ms;11.08ms;9.72ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-4b23ccb3-3dc4-48bd-9815-efe4c44212df/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.96%;maximize_distance;172.73;2.59ms;0.31ms;6.50ms;1.31ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-c6355312-9bec-4747-868f-0ecd941b21b6/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;74.96%;maximize_distance;134.93;7.75ms;0.30ms;11.81ms;7.38ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-7308e64d-af2f-46e5-8e16-28f4eb47ee38/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.98%;maximize_distance;226.14;2.83ms;0.36ms;4.99ms;0.94ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-9cd95ca6-895e-4c5f-9e6d-970d756a1384/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;1.91%;maximize_distance;4.50;7.80ms;0.11ms;8.06ms;7.71ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-7647f8c3-d0c6-4f75-bf36-4b7a6b0ec6f5/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.91%;maximize_distance;97.73;2.89ms;0.53ms;5.89ms;0.77ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-9e31eb54-3f5f-4020-bf47-ecc83920884c/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;34.34%;maximize_distance;34.99;9.92ms;14.59ms;130.88ms;7.53ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-1caac52a-0fc0-4a47-9059-c673ddb72510/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;14.22%;maximize_distance;45.88;3.36ms;1.11ms;10.01ms;2.44ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-83f889eb-0050-421a-b3f4-ac1c3786a305/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;16.33%;maximize_distance;52.70;8.66ms;3.66ms;43.82ms;7.46ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-61e03f3d-f6a7-42f5-ad2b-da4f98b30001/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.95%;maximize_distance;57.92;4.52ms;1.25ms;7.87ms;1.61ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-909f1068-f0da-4e93-a2b1-f4b858323eec/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;25.07%;maximize_distance;15.30;13.50ms;19.95ms;122.48ms;8.58ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-101fa25c-623f-4d65-83b2-177fb9d12f45/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;94.46%;maximize_distance;52.62;2.66ms;0.60ms;6.30ms;1.22ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-PointMassModel-bc0baec6-e0c7-441d-a09b-63fe11082642/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Feasible Curve;29.61%;maximize_distance;16.50;10.49ms;5.18ms;33.83ms;7.66ms;-;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-0f351ce3-e484-4e89-a4b5-19d15d18e7a5/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;43.87%;maximize_distance;21.41;3.02ms;0.82ms;5.61ms;2.10ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-PointMassModel-41e120a7-9869-4b2f-a0c6-e3aa59316357/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Infeasible Curve;30.73%;maximize_distance;15.00;9.26ms;1.82ms;15.44ms;7.86ms;-;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-108c3152-7e65-47ec-a056-abe1512c01cd/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;15.32%;maximize_distance;29.07;4.05ms;3.63ms;29.60ms;2.87ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-PointMassModel-e8dc276d-0008-4319-b53b-7eb4512715c7/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Random;24.03%;maximize_distance;45.59;10.52ms;8.82ms;98.12ms;7.98ms;-;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-fe44f3f4-2f2c-4e59-8801-658cda5a0784/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.92%;maximize_distance;172.66;3.47ms;1.45ms;18.20ms;1.72ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-a1279b3f-56b3-485d-ae88-a6bd8d9ab096/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;5.00%;maximize_distance;9.00;8.63ms;0.37ms;9.30ms;8.14ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-d9c589cc-4991-4742-a4f4-73e4dcc05227/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.93%;maximize_distance;226.04;4.00ms;1.16ms;15.75ms;1.48ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-682922ee-375c-4153-8206-96a7356f35c2/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;2.11%;maximize_distance;4.98;8.50ms;0.20ms;8.85ms;8.31ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-6c0fa5b0-eaed-4e23-9385-544216f4af98/stats.pdf""; ""Stats"")"
Point Mass;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.85%;maximize_distance;97.66;2.47ms;0.63ms;4.53ms;1.10ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-afffff54-4482-47dc-90fc-1375b3b9a6d8/stats.pdf""; ""Stats"")"
Bicycle;10.00ms;10;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;8.83%;maximize_distance;9.00;7.89ms;0.25ms;8.33ms;7.63ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-959dc409-62ec-4ae1-bb84-08878e606f6b/stats.pdf""; ""Stats"")"
